"shapeid","x","y"
"7","103.7463152","1.3342779"
"7","103.7463376","1.3342009"
"7","103.7463915","1.3341415"
"7","103.7472603","1.3334615"
"7","103.747327","1.3334352"
"7","103.7473878","1.3334286"
"7","103.7474934","1.3334506"
"7","103.7475621","1.3335107"
"7","103.747614","1.3336102"
"7","103.7476159","1.3337118"
"7","103.7475877","1.3337955"
"7","103.7475461","1.3338414"
"7","103.7476136","1.3338453"
"7","103.7473673","1.3359699"
"7","103.7473399","1.3360445"
"7","103.7472672","1.3360893"
"7","103.747193","1.3361021"
"7","103.7463472","1.3360276"
"7","103.7462762","1.3359928"
"8","103.7479591","1.3276546"
"8","103.748615","1.3277444"
"8","103.7487252","1.3269403"
"8","103.7482196","1.3268711"
"8","103.7481886","1.3270975"
"8","103.7484044","1.327127"
"8","103.7483583","1.3274631"
"8","103.7479922","1.3274129"
"8","103.7479591","1.3276546"
"9","103.7416634","1.3339085"
"9","103.7418593","1.3335592"
"9","103.7417885","1.3335136"
"9","103.7418397","1.333406"
"9","103.7418577","1.3333743"
"9","103.7421747","1.3328152"
"9","103.7424405","1.3323463"
"9","103.742775","1.3325338"
"9","103.7428799","1.3325926"
"9","103.7428363","1.3326703"
"9","103.7424468","1.3333649"
"9","103.7424222","1.3334088"
"9","103.7423328","1.3335681"
"9","103.7423158","1.3335985"
"9","103.7422561","1.3337048"
"9","103.7422364","1.33374"
"9","103.7421069","1.3336674"
"9","103.7418979","1.33404"
"9","103.7416634","1.3339085"
"10","103.7417462","1.330932"
"10","103.7418423","1.3308663"
"10","103.7421152","1.3312708"
"10","103.7420048","1.3314031"
"10","103.7419565","1.331505"
"10","103.7419243","1.3316016"
"10","103.7418922","1.3316981"
"10","103.7416615","1.3317356"
"10","103.7415917","1.3317196"
"10","103.741581","1.3316552"
"10","103.7415327","1.3317035"
"10","103.7415059","1.331623"
"10","103.7414523","1.3316552"
"10","103.7413825","1.3316177"
"10","103.7413343","1.3315533"
"10","103.741286","1.3314782"
"10","103.7412699","1.3314085"
"10","103.7412645","1.3313495"
"10","103.7412699","1.3312905"
"10","103.7412806","1.3311994"
