obstacle,vertX,vertY
184,589.95807,117.39977
184,590.715,102.49449
184,553.5107,103.69305
184,551.23285,98.32916
184,498.08362,97.73581
185,558.82513,12.009352
185,479.8607,12.578958
185,482.89813,91.1734
185,506.4383,117.9814
185,507.95428,140.0651
185,592.2337,139.93452
185,594.5135,106.67195
185,610.45605,66.73942
185,610.45605,9.469735
185,592.9926,6.6455407
185,558.82513,12.009352
186,568.69604,5.8028927
186,567.1775,47.277794
186,603.6226,47.39638
186,605.1412,17.978365
186,598.3077,17.942722
186,598.3077,5.9215484
186,568.69604,5.8028927
187,542.12146,17.89522
187,542.1214,25.727398
187,557.30695,25.573147
187,557.3069,47.633724
187,566.4183,47.538815
187,566.41815,17.6579
187,542.12146,17.89522
188,492.0094,64.03386
188,492.0094,89.90364
188,531.4917,89.69009
188,531.49164,95.01826
188,548.95496,94.93523
188,548.9549,48.072773
188,541.3622,48.096573
188,541.36224,62.51479
188,526.936,62.586063
188,526.9376,73.385216
188,504.91873,73.50384
188,504.91705,63.962624
188,492.0094,64.03386
189,173.87367,7.677875
189,201.96681,7.084528
189,201.9668,23.793146
189,176.1515,24.018635
189,177.67007,45.26038
189,196.6519,57.18663
189,204.2471,44.02676
189,213.35771,32.693604
189,224.74503,23.793133
189,239.17038,17.242537
189,249.04112,13.670643
189,268.02362,11.985556
189,287.7641,15.450659
189,296.11676,0.43905702
189,218.67079,42.720882
189,226.2607,57.328342
189,308.2646,13.801227
189,305.22806,3.0379636
189,312.0615,4.105889
189,296.11798,30.33193
189,290.04367,27.365189
189,282.45108,30.771025
189,270.3027,29.15713
189,257.39514,29.157124
189,245.24692,31.471207
189,231.58035,37.39292
189,221.70795,46.672546
189,213.35594,59.559994
189,208.8003,69.11288
189,200.44829,64.92386
189,192.85939,70.89431
189,166.28096,57.768093
189,160.96605,49.43753
189,160.96603,21.384151
189,170.8354,17.242502
189,173.87367,7.677875
190,148.05835,41.807137
190,162.48343,15.593012
190,159.44676,9.612155
190,163.24384,0.52213013
190,186.02205,1.1273364
190,186.78094,6.0402555
190,204.24461,1.1273195
190,204.24365,16.70853
190,220.94864,7.6422906
190,231.57849,1.7207106
190,237.65266,0.80692834
190,244.48575,7.8202863
190,214.8731,25.122099
190,221.7079,33.452827
190,214.11516,38.828575
190,218.6708,50.754803
190,205.76315,50.161438
190,206.51932,57.92155
190,201.96677,61.494354
190,196.64885,53.744423
190,189.05913,61.494358
190,159.44743,60.87728
190,148.05835,41.807137
191,88.82906,88.69925
191,80.483,69.32652
191,75.92145,68.66849
191,63.01971,44.892536
191,63.778988,39.81349
191,63.01971,34.770058
191,68.33119,21.810299
191,71.36968,12.673501
191,72.89027,1.0680195
191,76.686646,4.758622
191,78.96446,9.825792
191,94.14994,17.907152
191,95.66652,16.352257
191,104.779785,21.514698
191,107.05759,20.339874
191,126.80149,31.329315
191,135.15073,22.570858
191,145.78056,18.678501
191,147.29845,8.010129
191,135.15005,7.4049273
191,135.15033,4.295826
191,132.11327,4.0110164
191,132.87135,17.527206
191,91.11284,0.85442555
191,86.55663,4.117793
191,85.79792,16.839155
191,82.76083,27.85164
191,78.20518,39.540554
191,101.742645,79.22352
191,126.79868,79.74566
191,127.55797,40.027115
191,141.98416,38.85228
191,140.46559,82.46319
191,134.3914,83.15147
191,129.83032,85.200874
191,127.55237,89.59129
191,127.55226,94.90736
191,99.45889,94.85846
191,88.82906,88.69925
192,755.47894,714.3045
192,753.9603,728.0107
192,794.9613,729.5769
192,794.9611,715.859
192,755.47894,714.3045
193,709.9165,663.95953
193,709.92816,685.41437
193,722.8358,685.4142
193,722.82404,663.9596
193,709.9165,663.95953
194,763.07086,408.79092
194,788.8912,428.6234
194,828.37274,376.81177
194,802.553,356.98022
194,763.07086,408.79092
195,861.0182,760.2767
195,888.35223,790.1456
195,893.667,784.9363
195,901.25995,791.93744
195,940.74194,755.00793
195,901.2597,713.3787
195,861.77734,750.16614
195,865.57385,754.91296
195,861.0182,760.2767
196,861.0177,588.0406
196,861.0177,605.034
196,950.612,602.75555
196,950.6121,585.7858
196,861.0177,588.0406
197,728.9041,699.5066
197,730.423,703.87335
197,712.2004,704.2412
197,712.2002,713.54504
197,720.55206,713.557
197,720.5523,730.847
197,730.4228,730.31305
197,730.4288,722.0594
197,749.4105,721.02686
